Method Name,ROC_AUC,TPR at 1% FPR
Random Forest,0.9719918446333541,0.6103736263736265
DNAGPT,0.9807433481726885,0.5908009587096994
Cosine Similarity,0.9075491975478875,0.38417242573527166
SVM,0.9791867124856815,0.5677733333333332
Edit Distance,0.9545247359746103,0.34191805157645605
